Date,System,Site,Location,Time,T_C,DO_AS,pH,Cond_uS,h_cm,Turbidity_NTU,notes,d_veg_cm
22/11/2023,JR,JR1,L5-edge,11:09,23.3,63.8,4.56,20,156,17.55,,
22/11/2023,JR,JR1,L5-half,11:10,23.2,64.6,4.62,20,147,,,
22/11/2023,JR,JR1,L5-mid,11:12,23.1,71.1,4.63,20,67,17.8,,
22/11/2023,JR,JR1,L6-edge,11:15,23.1,66.1,4.65,19,189,,,
22/11/2023,JR,JR1,L6-half,11:16,23.1,67.1,4.67,20,152,,,
22/11/2023,JR,JR1,L6-mid,11:18,23.1,65.6,4.68,20,175,,,
25/11/2023,JR,JR1,L5-edge,10:10,23.4,50.7,5.19,21,149,20.5,,
25/11/2023,JR,JR1,L5-half,10:12,23,56.3,4.59,20,186,,,
25/11/2023,JR,JR1,L5-mid,10:13,22.9,60.7,4.4,20,67,19.85,,
25/11/2023,JR,JR1,L6-edge,10:28,22.9,58.1,4.43,19,174,,,
25/11/2023,JR,JR1,L6-half,10:27,22.9,57.6,4.61,20,163,,,
25/11/2023,JR,JR1,L6-mid,10:26,22.9,57.5,5.2,21,155,,,
27/11/2023,JR,JR1,L5-edge,09:37,22.4,57.1,5.02,21,141,18.25,,
27/11/2023,JR,JR1,L5-half,09:39,22.4,61.3,4.2,21,133,,,
27/11/2023,JR,JR1,L5-mid,09:40,22.3,64.4,4.3,20,63,17.25,,
27/11/2023,JR,JR1,L6-edge,09:43,22.3,61.7,4.26,20,178,,,
27/11/2023,JR,JR1,L6-half,09:44,22.3,62.4,4.28,20,168,,,
27/11/2023,JR,JR1,L6-mid,09:46,22.3,61.2,4.29,20,149,,,
25/11/2023,JR,JR2,L12-edge,10:42,23.5,59.8,5.68,20,41,,,
25/11/2023,JR,JR2,L12-half,10:44,23.2,61.2,5.42,20,57,,,
25/11/2023,JR,JR2,L12-mid,10:45,23.1,61.5,4.84,20,65,,,
27/11/2023,JR,JR2,L12-edge,09:57,22.7,63.1,5.26,21,45,,,
27/11/2023,JR,JR2,L12-half,09:59,22.5,64.1,4.85,20,63,,,
27/11/2023,JR,JR2,L12-mid,10:00,22.5,64.4,4.57,19,75,,,
09/10/2023,LN,LN1,L7-edge,11:06,27.8,94.7,5.3,22,58,,,
09/10/2023,LN,LN1,L7-half,11:14,28.9,95.2,4.9,22,75,,,
09/10/2023,LN,LN1,L7-mid,11:25,29.3,97.7,4.8,22,106,,,
11/10/2023,LN,LN1,L7-edge,09:50,25.2,56.5,5.38,23,57,,,
11/10/2023,LN,LN1,L7-half,09:50,25,61.1,4.92,22,84,,,
11/10/2023,LN,LN1,L7-mid,09:50,24.6,62.1,4.96,23,85,,,
20/11/2023,LN,LN10,L8-edge,10:04,27.3,98.5,5.88,19,410,8.32,,
20/11/2023,LN,LN10,L8-half,10:06,26.9,97.2,,,,,,
20/11/2023,LN,LN10,L8-mid,10:08,29.5,98.8,,,,,,
22/11/2023,LN,LN10,L8-edge,09:23,24.4,66.8,4.97,20,410,8.005,,
22/11/2023,LN,LN10,L8-half,09:24,24.6,65.3,,,,,,
22/11/2023,LN,LN10,L8-mid,09:24,24.7,67.1,,,,,,
20/11/2023,LN,LN11,L9-edge,10:40,26.4,37.7,5.49,21,210,,,
20/11/2023,LN,LN11,L9-half,10:42,25.7,48.6,4.73,21,225,,,
20/11/2023,LN,LN11,L9-mid,10:42,25.3,60.1,4.73,20,210,,,
22/11/2023,LN,LN11,L9-edge,10:07,24.5,59.5,5.61,19,210,,,
22/11/2023,LN,LN11,L9-half,10:06,24.4,62.3,5.39,20,225,,,
22/11/2023,LN,LN11,L9-mid,10:04,24.4,67,5.31,19,210,,,
20/11/2023,LN,LN12,L11-edge,10:58,29.1,99.9,6.37,20,230,,,
20/11/2023,LN,LN12,L11-half,11:00,27.8,104,,,,,,
20/11/2023,LN,LN12,L11-mid,11:02,26.5,79.1,,,,,,
22/11/2023,LN,LN12,L11-edge,10:14,24.7,88.7,5.56,19,230,,,
22/11/2023,LN,LN12,L11-half,10:16,24.7,89.7,,,,,,
22/11/2023,LN,LN12,L11-mid,10:17,24.7,88.1,,,,,,
20/11/2023,LN,LN13,L12-edge,11:20,28.9,93.6,6.12,19,200,,,
20/11/2023,LN,LN13,L12-half,11:22,28.2,92.4,5.64,19,200,,,
20/11/2023,LN,LN13,L12-mid,11:24,27.1,95.7,5.48,19,200,,,
22/11/2023,LN,LN13,L12-edge,10:34,24.7,81.1,6.55,19,200,,,
22/11/2023,LN,LN13,L12-half,10:36,24.8,83.6,6.26,19,200,,,
22/11/2023,LN,LN13,L12-mid,10:37,24.7,86.4,6.04,19,200,,,
25/11/2023,LN,LN14,L7-edge,09:04,25.4,96.1,5.08,19,350,8.67,,
25/11/2023,LN,LN14,L7-mid,09:05,25.5,92.4,,,,,,
27/11/2023,LN,LN14,L7-edge,08:49,24.5,90.1,5.42,19,350,7.74,,
27/11/2023,LN,LN14,L7-mid,08:50,24.6,89.3,,,,,,
25/11/2023,LN,LN15,L8-edge,09:21,26,96.9,5.12,18,350,,,
25/11/2023,LN,LN15,L8-mid,09:23,26,93.7,,,,,,
27/11/2023,LN,LN15,L8-edge,09:09,25.3,85.4,5.5,19,350,,,
27/11/2023,LN,LN15,L8-mid,09:10,25.2,83.3,,,,,,
25/11/2023,LN,LN16,L9-edge,09:40,25.3,89.6,6.22,19,230,8.99,,
25/11/2023,LN,LN16,L9-mid,09:41,25.2,82.2,,,,,,
27/11/2023,LN,LN16,L9-edge,09:23,25.2,89,5.66,19,230,9.525,,
27/11/2023,LN,LN16,L9-mid,09:24,25.1,85.3,,,,,,
25/11/2023,LN,LN17,L11-edge,11:40,25.6,93,5.68,19,67,,,
25/11/2023,LN,LN17,L11-half,11:41,25.6,93,5.1,19,77,,,
25/11/2023,LN,LN17,L11-mid,11:43,25.6,93,5.13,19,84,,,
27/11/2023,LN,LN17,L11-edge,10:11,25,80.6,5.36,20,72.5,,,
27/11/2023,LN,LN17,L11-half,10:12,25.1,84.6,5.53,19,73,,,
27/11/2023,LN,LN17,L11-mid,10:14,25.2,82.4,5.76,19,85,,,
16/10/2023,LN,LN2,L7-edge,09:23,26.6,8.8,5.3,29,200,6.29,After rainfall,
16/10/2023,LN,LN2,L7-half,09:29,26.4,42.6,5.1,23,175,,,
16/10/2023,LN,LN2,L7-mid,09:31,26.8,37.3,5.05,23,182,7.23,,
18/10/2023,LN,LN2,L7-edge,08:51,25.5,21.6,5.86,26,59,9.63,After heavy rain,
18/10/2023,LN,LN2,L7-half,08:51,25.7,93.9,5.13,25,200,,,
18/10/2023,LN,LN2,L7-mid,08:51,25.8,56.7,5.21,24,182,10.23,,
23/10/2023,LN,LN3,L7-edge,09:20,25.2,63.8,6.06,21,68,11.2,,
23/10/2023,LN,LN3,L7-half,09:20,25.7,72,6.12,22,83,,,
23/10/2023,LN,LN3,L7-mid,09:20,25.7,76.6,6.05,23,89,8.76,,
25/10/2023,LN,LN3,L7-edge,08:44,25,52.3,5.23,21,69,11.15,,
25/10/2023,LN,LN3,L7-half,08:44,25.1,49.8,5.19,20,78,,,
25/10/2023,LN,LN3,L7-mid,08:45,25.3,47.2,5.25,21,89,10.33,,
30/10/2023,LN,LN4,L7-edge,10:00,27.1,59.6,5.76,24,95,9.25,,
30/10/2023,LN,LN4,L7-half,10:03,26.5,63.8,5.43,25,93,,,
30/10/2023,LN,LN4,L7-mid,10:05,26.3,62.4,5.1,23,109,11.125,,
01/11/2023,LN,LN4,L7-edge,09:00,25.1,41.4,4.85,23,82,8.77,,
01/11/2023,LN,LN4,L7-half,09:02,25.8,41.4,5.62,23,101,,,
01/11/2023,LN,LN4,L7-mid,09:03,26.1,48.8,5.76,23,111,8.305,,
06/11/2023,LN,LN5,L8-edge,00:00,25,68.3,5.56,22,94,9.345,,
06/11/2023,LN,LN5,L8-half,09:19,25.1,67.5,5.45,22,113,,,
06/11/2023,LN,LN5,L8-mid,09:20,25.2,76.3,5.62,22,119,9.04,,
08/11/2023,LN,LN5,L8-edge,08:23,22.8,65.6,5.6,22,97,8.295,,
08/11/2023,LN,LN5,L8-half,08:24,23.6,68.2,5.42,22,63,,,
08/11/2023,LN,LN5,L8-mid,08:25,23.9,68.8,5.47,21,124,9.885,,
06/11/2023,LN,LN6,L7-edge,09:39,24.9,69.6,5.37,22,63,,,
06/11/2023,LN,LN6,L7-half,09:41,25.1,69.3,5.59,22,110,,,
06/11/2023,LN,LN6,L7-mid,09:42,25.2,68.7,5.6,22,123,,,
08/11/2023,LN,LN6,L7-edge,08:31,23.9,71.9,5.96,22,63,,,
08/11/2023,LN,LN6,L7-half,08:32,24.1,69,6.09,21,110,,,
08/11/2023,LN,LN6,L7-mid,08:34,24.2,68.4,6.04,21,119,,,
13/11/2023,LN,LN7,L7-edge,10:17,24,64.5,5.01,21,64,9.03,,
13/11/2023,LN,LN7,L7-mid,10:20,24.4,64.9,5.34,21,105,9.615,,
13/11/2023,LN,LN7,L7-half,10:21,24.6,66.9,5.82,21,78,,,
15/11/2023,LN,LN7,L7-edge,09:02,25.5,37,5.73,22,59,9.57,,
15/11/2023,LN,LN7,L7-half,09:00,25.4,51.1,5.88,21,78,,,
15/11/2023,LN,LN7,L7-mid,08:58,25.3,55.4,5.35,21,97,8.64,,
13/11/2023,LN,LN8,L8-edge,09:56,24.3,85.3,5.12,21,300,,,
13/11/2023,LN,LN8,L8-half,10:00,24.4,87.1,,,,,,
13/11/2023,LN,LN8,L8-mid,10:02,24.3,87.2,,,,,,
15/11/2023,LN,LN8,L8-edge,08:40,24.9,93.1,5.8,20,300,,,
15/11/2023,LN,LN8,L8-half,08:42,24.9,83.1,,,,,,
15/11/2023,LN,LN8,L8-mid,08:44,24.8,58.9,,,,,,
20/11/2023,LN,LN9,L7-edge,09:40,25,98.1,6.03,20,78,7.26,,
20/11/2023,LN,LN9,L7-half,09:42,25.1,92.7,6.21,19,85.5,,,
20/11/2023,LN,LN9,L7-mid,09:44,25.3,99.3,6.31,16,95,,,
22/11/2023,LN,LN9,L7-edge,09:17,24.6,52.1,5.19,20,78,9.72,,
22/11/2023,LN,LN9,L7-half,09:15,24.6,54.4,5.19,21,85.5,,,
22/11/2023,LN,LN9,L7-mid,09:14,24.4,53.6,5.43,21,95,,,
23/10/2023,LN,LNI1,L9-edge,08:50,24.5,58.2,5.88,22,95,,,
23/10/2023,LN,LNI1,L9-half,08:50,25.3,77.7,5.65,23,185,,,
23/10/2023,LN,LNI1,L9-mid,08:50,25.3,81,5.46,23,195,,,
25/10/2023,LN,LNI1,L9-edge,08:29,25.1,65.1,6.39,23,104,,,
25/10/2023,LN,LNI1,L9-half,08:30,25.3,64.6,5.83,23,168,,,
25/10/2023,LN,LNI1,L9-mid,08:32,25.4,62.8,5.49,23,175,,,
30/10/2023,LN,LNI2,L9-edge,09:28,25.3,24.7,5.12,25,210,,,
30/10/2023,LN,LNI2,L9-half,09:29,25.4,19.8,5.43,25,198,,,
30/10/2023,LN,LNI2,L9-mid,09:35,25.5,33.4,5.59,23,193,,,
01/11/2023,LN,LNI2,L9-edge,08:43,24.3,8.2,5.54,26,35,,After rainfall,
01/11/2023,LN,LNI2,L9-half,08:45,25.2,13.1,5.61,25,222,,,
01/11/2023,LN,LNI2,L9-mid,08:47,25.8,22.3,5.35,24,222,,,
06/11/2023,LN,LNI3,L9-edge,10:42,27.4,99.8,5.84,21,300,,"Electrodes straight down -> only one depth, pH and cond",
06/11/2023,LN,LNI3,L9-half,10:44,25.9,91.2,,,,,,
06/11/2023,LN,LNI3,L9-mid,10:44,25.5,89,,,,,,
08/11/2023,LN,LNI3,L9-edge,09:09,24.6,84.3,5.85,20,300,,,
08/11/2023,LN,LNI3,L9-half,09:10,24.5,83.2,,,,,,
08/11/2023,LN,LNI3,L9-mid,09:11,24.4,85.7,,,,,,
13/11/2023,LN,LNI4,L9-edge,10:55,24.6,90.8,5.44,20,300,,,
13/11/2023,LN,LNI4,L9-half,10:56,24.9,91.8,,,,,,
13/11/2023,LN,LNI4,L9-mid,10:56,25,93,,,,,,
15/11/2023,LN,LNI4,L9-edge,09:31,25.4,97.2,5.57,20,300,,,
15/11/2023,LN,LNI4,L9-half,09:33,25.4,94.6,,,,,,
15/11/2023,LN,LNI4,L9-mid,09:35,25.1,82.1,,,,,,
04/10/2023,PL,PLP,1,10:20,22.7,6.5,5.9,12,37,,,
04/10/2023,PL,PLP,2,10:24,22.8,7,5.6,9,54,,,
04/10/2023,PL,PLP,L1,10:28,22.6,1.2,5.1,10,77,,,
04/10/2023,PL,PLP,4,10:32,22.4,3.1,4.8,8,40,,,
04/10/2023,PL,PLP,5,12:55,27.2,34.5,4.4,8,46,,,
04/10/2023,PL,PLP,6,13:03,26.4,33.6,3.8,9,35,,,
06/10/2023,PL,PLP,L1,10:40,22.8,10,4.2,11,76,,,
06/10/2023,PL,PLP,L2,10:45,22.8,11.3,4.3,10,72,,,
06/10/2023,PL,PLP,L2-1,12:05,23,4,,,10,,,110
06/10/2023,PL,PLP,L2-2,12:05,22.9,2.6,,,52,,,110
06/10/2023,PL,PLP,L2-3,12:03,23,4.3,,,10,,,100
06/10/2023,PL,PLP,L2-4,12:03,22.8,2.7,,,50,,,100
06/10/2023,PL,PLP,L2-5,12:00,23,3.7,,,10,,,190
06/10/2023,PL,PLP,L2-6,12:00,22.9,3.2,,,51,,,190
06/10/2023,PL,PLP,L2-7,11:57,23.1,4.5,,,10,,,83
06/10/2023,PL,PLP,L2-8,11:57,22.9,3.6,,,51,,,83
06/10/2023,PL,PLP,L1-1,12:15,24.3,6.1,,,9,,,
06/10/2023,PL,PLP,L1-2,12:15,,,,,21,,,
06/10/2023,PL,PLP,L1-3,12:21,24.9,15.2,,,10,,,
06/10/2023,PL,PLP,L1-4,12:21,23.9,1.2,,,29,,,
06/10/2023,PL,PLP,L1-5,12:25,24.9,10,,,11,,,
06/10/2023,PL,PLP,L1-6,12:25,23.8,0.7,,,36,,,
06/10/2023,PL,PLP,L1-7,12:30,24.6,10,,,10,,,
06/10/2023,PL,PLP,L1-8,12:30,23.9,1.3,,,37,,,
18/10/2023,PL,PLP,L4-mid,14:29,25,4.9,3.4,9,73.5,1.595,,
18/10/2023,PL,PLP,L4-half,14:29,25,4.9,3.45,9,73,,,
18/10/2023,PL,PLP,L4-edge,14:29,26.3,4.5,3.32,9,40,,,
20/10/2023,PL,PLP,L4-mid,08:56,22.3,3.6,3.89,10,77,2.365,After heavy rain,
20/10/2023,PL,PLP,L4-half,08:56,22.4,3.5,3.59,10,78.5,,,
20/10/2023,PL,PLP,L4-edge,08:56,22.4,4.2,3.61,10,46,,,
25/10/2023,PL,PLP,L4-mid,13:50,24.8,6.6,3.62,8,75,1.14,,
25/10/2023,PL,PLP,L4-half,13:50,24.4,5,3.52,8,76,,,
25/10/2023,PL,PLP,L4-edge,13:51,24.5,7.2,3.56,8,71,,,
27/10/2023,PL,PLP,L4-mid,09:32,23.3,3.2,4.3,8,73,0.92,,
27/10/2023,PL,PLP,L4-half,09:33,23.2,3.1,3.94,9,77.5,,,
27/10/2023,PL,PLP,L4-edge,09:34,23.5,4.5,3.75,10,55,,,
01/11/2023,PL,PLP,L4-mid,13:08,24.3,6.3,3.45,8,80,2.635,,
01/11/2023,PL,PLP,L4-half,13:08,24.3,4.6,3.47,8,80,,,
01/11/2023,PL,PLP,L4-edge,13:08,24.9,10.8,3.48,8,43,,,
03/11/2023,PL,PLP,L4-mid,09:15,22.4,4.6,3.95,8,80,0.96,,
03/11/2023,PL,PLP,L4-half,09:16,22.5,3.3,4.2,8,83,,,
03/11/2023,PL,PLP,L4-edge,09:18,22.8,5.4,4.31,8,44,,,
08/11/2023,PL,PLP,L4-mid,12:38,23.1,15.9,3.94,8,86,1.795,,
08/11/2023,PL,PLP,L4-half,12:38,23.2,21.5,3.8,8,91,,,
08/11/2023,PL,PLP,L4-edge,12:39,23.4,28.8,3.74,8,43,,,
10/11/2023,PL,PLP,L4-mid,00:39,23.6,7.1,3.92,8,84,1.97,,
10/11/2023,PL,PLP,L4-half,09:41,23.6,7.4,3.79,9,91,,,
10/11/2023,PL,PLP,L4-edge,09:42,23.7,11,3.71,8,92,,,
15/11/2023,PL,PLP,L4-edge,14:12,23.9,35.6,3.81,9,95,,,
15/11/2023,PL,PLP,L4-half,14:13,23.9,34.1,3.84,9,96,,,
15/11/2023,PL,PLP,L4-mid,14:14,23.7,22.5,3.84,9,93,1.6,,
17/11/2023,PL,PLP,L4-mid,10:44,22.9,20.3,4.37,9,100,1.64,,
17/11/2023,PL,PLP,L4-half,10:43,22.8,28.7,4.44,9,103,,,
17/11/2023,PL,PLP,L4-edge,10:42,22.8,30.1,4.06,9,104,,,
22/11/2023,PL,PLP,L4-mid,15:30,26.1,35.4,4.74,9,99,1.315,,
22/11/2023,PL,PLP,L4-half,15:33,26.7,65,4.06,9,100,,,
22/11/2023,PL,PLP,L4-edge,15:34,26.8,65.2,4.03,9,90,,,
24/11/2023,PL,PLP,L4-mid,11:10,24.5,17.8,4.39,9,100,1.22,,
24/11/2023,PL,PLP,L4-half,11:12,24.4,25,4.33,9,110,,,
24/11/2023,PL,PLP,L4-edge,11:13,24.4,31.6,4.33,9,107,,,
27/11/2023,PL,PLP,L4-mid,13:41,26.3,44.2,4.48,10,100,1.24,,
27/11/2023,PL,PLP,L4-half,13:41,27.1,54.9,4.46,10,106,,,
27/11/2023,PL,PLP,L4-edge,13:41,27.2,57.9,4.48,9,112,,,
29/11/2023,PL,PLP,L4-mid,09:23,23.3,4.7,3.23,10,106,1.7,,
29/11/2023,PL,PLP,L4-half,09:23,23.3,5.9,3.24,10,108,,,
29/11/2023,PL,PLP,L4-edge,09:24,23.4,5.6,3.22,11,112,,,
18/10/2023,PL,PLS,L9-edge,14:19,28,22.7,3.82,8,38,4.585,,
18/10/2023,PL,PLS,L9-mid,14:19,27.6,23.8,3.31,8,28,,,
20/10/2023,PL,PLS,L9-edge,09:06,22,10.5,3.62,8,51,2.935,,
20/10/2023,PL,PLS,L9-half,09:06,22.1,10.4,3.62,8,33,,,
20/10/2023,PL,PLS,L9-mid,09:06,22.2,10.6,3.5,8,37,,,
25/10/2023,PL,PLS,L10-edge,13:54,24.6,14.9,3.62,8,40,1.48,,
25/10/2023,PL,PLS,L10-half,13:55,24.6,15,3.67,8,33,,,
25/10/2023,PL,PLS,L10-mid,13:56,24.6,15,3.64,7,30,,,
27/10/2023,PL,PLS,L10-edge,09:46,25.3,15.1,4.42,8,43,1.735,,
27/10/2023,PL,PLS,L10-half,09:48,25,14.9,4.21,9,26,,,
27/10/2023,PL,PLS,L10-mid,09:48,24.8,14.9,3.95,9,33,,,
01/11/2023,PL,PLS,L10-edge,12:58,25.3,17,4.08,8,51,2.24,,
01/11/2023,PL,PLS,L10-half,12:59,25,16.6,3.54,8,36,,,
01/11/2023,PL,PLS,L10-mid,13:01,24.8,16.6,3.44,8,34,,,
03/11/2023,PL,PLS,L10-edge,09:07,22.5,10.6,3.97,8,52,4.455,,
03/11/2023,PL,PLS,L10-half,09:08,22.5,10.3,3.99,8,33,,,
03/11/2023,PL,PLS,L10-mid,09:09,22.6,10.2,4.08,8,33,,,
08/11/2023,PL,PLS,L10-edge,12:41,22.9,22.8,3.77,8,57,2.225,,
08/11/2023,PL,PLS,L10-half,12:42,22.9,21.3,3.82,8,44,,,
08/11/2023,PL,PLS,L10-mid,12:42,22.8,21.4,3.83,8,31,,,
10/11/2023,PL,PLS,L10-edge,09:25,23.6,13.9,3.84,8,67,7.275,,
10/11/2023,PL,PLS,L10-half,09:27,23.5,12.2,3.52,8,44,,,
10/11/2023,PL,PLS,L10-mid,09:28,23.5,12,3.57,8,49,,,
15/11/2023,PL,PLS,L10-edge,14:07,23.9,24.8,3.72,9,65,0.84,,
15/11/2023,PL,PLS,L10-half,14:08,23.9,24.6,3.76,9,65,,,
15/11/2023,PL,PLS,L10-mid,14:09,23.8,25.1,3.79,9,63,,,
17/11/2023,PL,PLS,L10-edge,10:33,22.8,24.8,4.27,9,77,1.445,,
17/11/2023,PL,PLS,L10-half,10:33,22.8,24.6,4.37,9,67,,,
17/11/2023,PL,PLS,L10-mid,10:34,22.8,24.9,4.42,9,73,,,
22/11/2023,PL,PLS,L10-edge,16:06,26.3,39.4,4.35,9,66,1.13,,
22/11/2023,PL,PLS,L10-half,15:07,26,39.9,4.21,9,84,,,
22/11/2023,PL,PLS,L10-mid,15:09,26,40,4.21,9,89,,,
24/11/2023,PL,PLS,L10-edge,11:00,25,23.5,4.61,10,84,1.935,,
